timestamp,glucose,true_bg,pm2_5,temp,env_resistance,predicted_30m
2026-04-11T02:00:00+00:00,2.5,2.6601,41.8,24.9,1.044,2.5
2026-04-11T03:00:00+00:00,2.67,2.6745,42.7,24.6,1.045,2.67
2026-04-11T04:00:00+00:00,2.5,2.7071,44.1,24.3,1.048,2.5
2026-04-11T05:00:00+00:00,2.5,2.7528,46.1,24.2,1.052,2.5
2026-04-11T06:00:00+00:00,2.87,2.8081,49.6,24.1,1.059,2.87
2026-04-11T07:00:00+00:00,3.03,2.8706,53.4,25.0,1.067,3.03
2026-04-11T08:00:00+00:00,3.18,2.9411,51.5,26.6,1.063,3.18
2026-04-11T09:00:00+00:00,2.77,3.0174,52.3,28.0,1.065,2.77
2026-04-11T10:00:00+00:00,2.96,3.0963,57.4,29.6,1.075,2.96
2026-04-11T11:00:00+00:00,2.5,3.1683,65.4,31.5,1.113,2.5
2026-04-11T12:00:00+00:00,2.5,3.2356,63.8,33.4,1.139,2.5
2026-04-11T13:00:00+00:00,3.05,3.2977,63.3,35.0,1.162,3.05
2026-04-11T14:00:00+00:00,3.23,4.6112,54.9,35.7,1.155,3.23
2026-04-11T15:00:00+00:00,3.92,5.7623,46.2,35.8,1.139,3.92
2026-04-11T16:00:00+00:00,4.77,6.6662,48.8,35.5,1.14,4.77
2026-04-11T17:00:00+00:00,6.09,7.1296,53.9,34.5,1.135,6.09
2026-04-11T18:00:00+00:00,6.34,6.8591,52.3,33.0,1.11,6.34
2026-04-11T19:00:00+00:00,7.09,5.7143,46.4,31.5,1.075,7.09
2026-04-11T20:00:00+00:00,6.73,4.0803,42.0,30.1,1.046,6.73
2026-04-11T21:00:00+00:00,5.48,3.3611,39.8,28.6,1.04,5.48
2026-04-11T22:00:00+00:00,4.28,2.8908,39.3,27.3,1.039,4.28
2026-04-11T23:00:00+00:00,3.2,2.6345,39.3,26.4,1.039,3.2
2026-04-12T00:00:00+00:00,2.5,2.5139,39.1,25.8,1.038,2.5
2026-04-12T01:00:00+00:00,2.54,2.4714,40.4,25.2,1.041,2.54
2026-04-12T02:00:00+00:00,2.72,2.4733,42.1,24.7,1.044,2.72
2026-04-12T03:00:00+00:00,2.5,2.5021,44.1,24.3,1.048,2.5
2026-04-12T04:00:00+00:00,2.5,2.5482,46.4,24.1,1.053,2.5
2026-04-12T05:00:00+00:00,2.5,2.6065,49.2,24.0,1.058,2.5
2026-04-12T06:00:00+00:00,2.5,2.6733,53.0,24.1,1.066,2.5
2026-04-12T07:00:00+00:00,2.5,2.7455,58.2,24.8,1.076,2.5
2026-04-12T08:00:00+00:00,2.5,2.822,62.2,26.4,1.084,2.5
2026-04-12T09:00:00+00:00,2.54,2.9052,60.3,28.7,1.081,2.54
2026-04-12T10:00:00+00:00,2.83,2.9867,62.9,30.9,1.099,2.83
2026-04-12T11:00:00+00:00,2.91,3.0583,65.4,33.1,1.137,2.91
2026-04-12T12:00:00+00:00,2.91,3.1292,53.1,35.3,1.146,2.91
2026-04-12T13:00:00+00:00,3.08,3.1997,43.1,37.0,1.151,3.08
2026-04-12T14:00:00+00:00,3.44,4.5228,39.8,37.9,1.158,3.44
2026-04-12T15:00:00+00:00,3.46,5.6909,38.5,38.3,1.162,3.46
2026-04-12T16:00:00+00:00,4.64,6.6133,40.9,37.9,1.16,4.64
2026-04-12T17:00:00+00:00,5.74,7.1046,52.2,36.3,1.159,5.74
2026-04-12T18:00:00+00:00,6.22,6.8712,52.7,34.0,1.125,6.22
2026-04-12T19:00:00+00:00,6.69,5.7607,45.3,31.9,1.079,6.69
2026-04-12T20:00:00+00:00,6.52,24.0,,30.4,,6.52
2026-04-12T21:00:00+00:00,5.43,24.0,,29.2,,5.43
2026-04-12T22:00:00+00:00,23.58,24.0,,28.3,,23.58
2026-04-12T23:00:00+00:00,23.65,24.0,,27.6,,23.65
