timestamp,glucose,true_bg,twin_mean,twin_p95,twin_p5,twin_std,predicted_30m,target_30m
2026-04-08T04:00:00+00:00,7.41,7.0958,9.37,9.37,9.37,0.69,8.43,7.0458
2026-04-08T04:02:30+00:00,7.03,7.0917,7.99,7.99,7.99,0.24,5.5,7.0417
2026-04-08T04:05:00+00:00,7.08,7.0875,6.49,6.49,6.49,0.23,6.06,7.0375
2026-04-08T04:07:30+00:00,7.18,7.0833,6.71,6.71,6.71,0.16,6.9,7.0333
2026-04-08T04:10:00+00:00,6.98,7.0792,7.1,7.1,7.1,0.03,5.62,7.0292
2026-04-08T04:12:30+00:00,6.99,7.075,6.41,6.41,6.41,0.24,5.99,7.025
2026-04-08T04:15:00+00:00,6.91,7.0708,6.54,6.54,6.54,0.19,5.69,7.0208
2026-04-08T04:17:30+00:00,6.55,7.0667,6.33,6.33,6.33,0.24,3.62,7.0167
2026-04-08T04:20:00+00:00,6.76,7.0625,5.19,5.19,5.19,0.56,5.87,7.0125
2026-04-08T04:22:30+00:00,6.45,7.0583,6.24,6.24,6.24,0.22,4.16,7.0083
2026-04-08T04:25:00+00:00,6.04,7.0542,5.31,5.31,5.31,0.48,2.2,7.0042
2026-04-08T04:27:30+00:00,5.81,7.05,4.16,4.16,4.16,0.78,2.2,7.0
2026-04-08T04:30:00+00:00,5.42,7.0458,3.79,3.79,3.79,0.84,2.2,6.9917
2026-04-08T04:32:30+00:00,5.51,7.0417,2.94,2.94,2.94,1.04,2.68,6.9875
2026-04-08T04:35:00+00:00,5.41,7.0375,3.87,3.87,3.87,0.68,3.19,6.9833
2026-04-08T04:37:30+00:00,5.57,7.0333,4.02,4.02,4.02,0.58,5.22,6.9792
2026-04-08T04:40:00+00:00,5.93,7.0292,5.01,5.01,5.01,0.23,8.16,6.975
2026-04-08T04:42:30+00:00,6.24,7.025,6.56,6.56,6.56,0.26,10.04,6.9708
2026-04-08T04:45:00+00:00,6.35,7.0208,7.67,7.67,7.67,0.6,10.12,6.9667
2026-04-08T04:47:30+00:00,6.59,7.0167,7.9,7.9,7.9,0.64,10.85,6.9625
2026-04-08T04:50:00+00:00,6.69,7.0125,8.46,8.46,8.46,0.78,10.44,6.9583
2026-04-08T04:52:30+00:00,6.91,7.0083,8.45,8.45,8.45,0.73,10.87,6.9542
2026-04-08T04:55:00+00:00,7.05,7.0042,8.84,8.84,8.84,0.8,10.55,6.95
2026-04-08T04:57:30+00:00,7.2,7.0,8.85,8.85,8.85,0.75,10.38,6.9458
2026-04-08T05:02:30+00:00,6.86,6.9917,8.11,8.11,8.11,0.42,6.22,6.9417
2026-04-08T05:05:00+00:00,6.98,6.9875,6.9,6.9,6.9,0.02,6.8,6.9375
2026-04-08T05:07:30+00:00,6.67,6.9833,7.17,7.17,7.17,0.08,4.54,6.9333
2026-04-08T05:10:00+00:00,6.41,6.9792,5.95,5.95,5.95,0.3,3.07,6.9292
2026-04-08T05:12:30+00:00,6.5,6.975,5.07,5.07,5.07,0.56,4.39,6.925
2026-04-08T05:15:00+00:00,6.49,6.9708,5.6,5.6,5.6,0.37,4.83,6.9208
2026-04-08T05:17:30+00:00,6.39,6.9667,5.74,5.74,5.74,0.31,4.56,6.9167
2026-04-08T05:20:00+00:00,6.43,6.9625,5.52,5.52,5.52,0.36,5.4,6.9125
2026-04-08T05:22:30+00:00,6.4,6.9583,5.88,5.88,5.88,0.23,5.58,6.9083
2026-04-08T05:25:00+00:00,6.57,6.9542,5.93,5.93,5.93,0.2,7.01,6.9042
2026-04-08T05:27:30+00:00,6.38,6.95,6.65,6.65,6.65,0.03,5.78,6.9
2026-04-08T05:30:00+00:00,6.36,6.9458,6.03,6.03,6.03,0.15,5.9,6.8958
2026-04-08T05:32:30+00:00,6.02,6.9417,6.07,6.07,6.07,0.12,3.85,6.8917
2026-04-08T05:35:00+00:00,5.89,6.9375,4.97,4.97,4.97,0.44,3.59,6.8875
2026-04-08T05:37:30+00:00,5.77,6.9333,4.74,4.74,4.74,0.48,3.52,6.8833
2026-04-08T05:40:00+00:00,5.57,6.9292,4.6,4.6,4.6,0.49,3.0,6.8792
2026-04-08T05:42:30+00:00,5.48,6.925,4.23,4.23,4.23,0.56,3.28,6.875
2026-04-08T05:45:00+00:00,5.71,6.9208,4.27,4.27,4.27,0.51,5.6,6.8708
2026-04-08T05:47:30+00:00,6.08,6.9167,5.4,5.4,5.4,0.13,8.4,6.8667
2026-04-08T05:50:00+00:00,6.48,6.9125,6.88,6.88,6.88,0.33,10.74,6.8625
2026-04-08T05:52:30+00:00,6.66,6.9083,8.23,8.23,8.23,0.73,10.95,6.8583
2026-04-08T05:55:00+00:00,6.8,6.9042,8.55,8.55,8.55,0.79,10.81,6.8542
2026-04-08T05:57:30+00:00,6.95,6.9,8.67,8.67,8.67,0.78,10.72,6.85
2026-04-08T06:00:00+00:00,7.17,6.8958,8.81,8.81,8.81,0.77,11.0,6.8458
2026-04-08T06:02:30+00:00,6.86,6.8917,9.12,9.12,9.12,0.81,7.67,6.8417
2026-04-08T06:05:00+00:00,6.38,6.8875,7.53,7.53,7.53,0.28,3.89,6.8375
2026-04-08T06:07:30+00:00,6.15,6.8833,5.56,5.56,5.56,0.34,2.73,6.8333
2026-04-08T06:10:00+00:00,6.08,6.8792,4.82,4.82,4.82,0.55,2.89,6.8292
2026-04-08T06:12:30+00:00,5.94,6.875,4.74,4.74,4.74,0.56,2.74,6.825
2026-04-08T06:15:00+00:00,5.93,6.8708,4.51,4.51,4.51,0.6,3.48,6.8208
2026-04-08T06:17:30+00:00,6.03,6.8667,4.75,4.75,4.75,0.49,4.86,6.8167
2026-04-08T06:20:00+00:00,6.27,6.8625,5.37,5.37,5.37,0.27,6.96,6.8125
2026-04-08T06:22:30+00:00,6.51,6.8583,6.43,6.43,6.43,0.06,8.51,6.8083
2026-04-08T06:25:00+00:00,6.02,6.8542,7.28,7.28,7.28,0.32,4.83,6.8042
2026-04-08T06:27:30+00:00,5.86,6.85,5.45,5.45,5.45,0.24,4.17,6.8
2026-04-08T06:30:00+00:00,6.4,6.8458,5.05,5.05,5.05,0.34,8.25,6.7958
2026-04-08T06:32:30+00:00,6.82,6.8417,7.12,7.12,7.12,0.3,10.71,6.7917
2026-04-08T06:35:00+00:00,6.86,6.8375,8.5,8.5,8.5,0.7,9.99,6.7875
2026-04-08T06:37:30+00:00,6.76,6.8333,8.31,8.31,8.31,0.6,8.49,6.7833
2026-04-08T06:40:00+00:00,6.13,6.8292,7.66,7.66,7.66,0.37,3.65,6.7792
2026-04-08T06:42:30+00:00,5.75,6.825,5.19,5.19,5.19,0.39,2.2,6.775
2026-04-08T06:45:00+00:00,5.62,6.8208,3.99,3.99,3.99,0.73,2.2,6.7708
2026-04-08T06:47:30+00:00,5.8,6.8167,3.86,3.86,3.86,0.73,3.97,6.7667
2026-04-08T06:50:00+00:00,5.82,6.8125,4.86,4.86,4.86,0.39,4.72,6.7625
2026-04-08T06:52:30+00:00,5.75,6.8083,5.17,5.17,5.17,0.27,4.69,6.7583
2026-04-08T06:55:00+00:00,5.92,6.8042,5.12,5.12,5.12,0.26,6.29,6.7542
2026-04-08T06:57:30+00:00,6.3,6.8,5.92,5.92,5.92,0.0,8.9,6.75
2026-04-08T07:00:00+00:00,6.56,6.7958,7.31,7.31,7.31,0.42,10.15,6.7458
2026-04-08T07:02:30+00:00,6.48,6.7917,8.1,8.1,8.1,0.64,8.72,6.7417
2026-04-08T07:05:00+00:00,6.34,6.7875,7.52,7.52,7.52,0.43,7.2,6.7375
2026-04-08T07:07:30+00:00,6.19,6.7833,6.82,6.82,6.82,0.2,5.84,6.7333
2026-04-08T07:10:00+00:00,6.18,6.7792,6.14,6.14,6.14,0.02,5.76,6.7292
2026-04-08T07:12:30+00:00,6.1,6.775,6.07,6.07,6.07,0.04,5.28,6.725
2026-04-08T07:15:00+00:00,5.65,6.7708,5.8,5.8,5.8,0.13,2.38,6.7208
2026-04-08T07:17:30+00:00,5.59,6.7667,4.23,4.23,4.23,0.59,2.83,6.7167
2026-04-08T07:20:00+00:00,5.61,6.7625,4.31,4.31,4.31,0.53,3.68,6.7125
2026-04-08T07:22:30+00:00,5.8,6.7583,4.63,4.63,4.63,0.4,5.6,6.7083
2026-04-08T07:25:00+00:00,6.0,6.7542,5.57,5.57,5.57,0.1,7.17,6.7042
2026-04-08T07:27:30+00:00,5.98,6.75,6.39,6.39,6.39,0.16,6.89,6.6958
2026-04-08T07:30:00+00:00,6.0,6.7458,6.3,6.3,6.3,0.13,6.86,6.6917
2026-04-08T07:32:30+00:00,6.01,6.7417,6.33,6.33,6.33,0.14,6.73,6.6875
2026-04-08T07:35:00+00:00,6.42,6.7375,6.3,6.3,6.3,0.12,9.32,6.6833
2026-04-08T07:37:30+00:00,6.69,6.7333,7.7,7.7,7.7,0.53,10.37,6.6792
2026-04-08T07:40:00+00:00,6.93,6.7292,8.39,8.39,8.39,0.71,10.95,6.675
2026-04-08T07:42:30+00:00,6.86,6.725,8.86,8.86,8.86,0.81,9.27,6.6708
2026-04-08T07:45:00+00:00,6.7,6.7208,8.16,8.16,8.16,0.54,7.33,6.6667
2026-04-08T07:47:30+00:00,6.59,6.7167,7.24,7.24,7.24,0.23,6.21,6.6625
2026-04-08T07:50:00+00:00,6.73,6.7125,6.66,6.66,6.66,0.03,6.93,6.6583
2026-04-08T07:52:30+00:00,6.64,6.7083,7.01,7.01,7.01,0.12,6.09,6.6542
2026-04-08T07:55:00+00:00,6.71,6.7042,6.57,6.57,6.57,0.03,6.49,6.637
2026-04-08T08:00:00+00:00,6.73,6.6958,6.77,6.77,6.77,0.02,6.48,6.5897
2026-04-08T08:02:30+00:00,6.5,6.6917,6.71,6.71,6.71,0.01,4.9,6.4645
2026-04-08T08:05:00+00:00,6.73,6.6875,5.86,5.86,5.86,0.27,6.78,6.1647
2026-04-08T08:07:30+00:00,6.73,6.6833,6.78,6.78,6.78,0.02,6.75,5.5564
2026-04-08T08:10:00+00:00,6.44,6.6792,6.76,6.76,6.76,0.01,4.73,4.5911
2026-04-08T08:12:30+00:00,6.36,6.675,5.7,5.7,5.7,0.31,4.65,4.0725
2026-04-08T08:15:00+00:00,6.17,6.6708,5.57,5.57,5.57,0.33,3.86,3.8474
2026-04-08T08:17:30+00:00,6.17,6.6667,5.08,5.08,5.08,0.45,4.48,3.7242
2026-04-08T08:20:00+00:00,6.24,6.6625,5.3,5.3,5.3,0.36,5.54,3.6873
2026-04-08T08:22:30+00:00,6.47,6.6583,5.79,5.79,5.79,0.19,7.41,3.7023
2026-04-08T08:25:00+00:00,6.53,6.6542,6.75,6.75,6.75,0.12,7.72,3.7437
2026-04-08T08:27:30+00:00,6.42,6.637,2.2,2.2,2.2,1.32,6.78,3.9187
2026-04-08T08:30:00+00:00,6.25,6.5897,2.2,2.2,2.2,1.25,5.63,4.0431
2026-04-08T08:32:30+00:00,6.03,6.4645,2.2,2.2,2.2,1.16,4.31,4.1673
2026-04-08T08:35:00+00:00,5.83,6.1647,2.2,2.2,2.2,1.05,3.52,4.2897
2026-04-08T08:37:30+00:00,5.69,5.5564,2.2,2.2,2.2,1.01,3.26,4.4095
2026-04-08T08:40:00+00:00,5.53,4.5911,2.2,2.2,2.2,0.95,2.95,4.5265
2026-04-08T08:42:30+00:00,4.88,4.0725,2.2,2.2,2.2,1.41,2.2,4.6403
2026-04-08T08:45:00+00:00,4.12,3.8474,2.2,2.2,2.2,1.18,2.2,4.7509
2026-04-08T08:47:30+00:00,3.41,3.7242,2.2,2.2,2.2,0.87,2.2,4.962
2026-04-08T08:50:00+00:00,2.88,3.6873,2.2,2.2,2.2,0.62,2.2,5.0625
2026-04-08T08:52:30+00:00,2.37,3.7023,2.2,2.2,2.2,0.45,2.2,5.1596
2026-04-08T08:55:00+00:00,2.28,3.7437,2.2,2.2,2.2,0.32,2.2,5.2533
2026-04-08T09:00:00+00:00,2.76,3.9187,2.2,2.2,2.2,0.32,3.3,5.3437
2026-04-08T09:02:30+00:00,2.93,4.0431,2.2,2.2,2.2,0.38,5.26,5.4307
2026-04-08T09:05:00+00:00,3.25,4.1673,2.2,2.2,2.2,0.49,7.61,5.5144
2026-04-08T09:07:30+00:00,3.6,4.2897,2.23,2.36,2.2,0.51,9.37,5.5949
2026-04-08T09:10:00+00:00,3.7,4.4095,2.92,3.97,2.2,0.6,8.94,5.6721
2026-04-08T09:12:30+00:00,4.16,4.5265,2.79,3.84,2.2,0.59,10.8,5.7461
2026-04-08T09:15:00+00:00,4.43,4.6403,4.24,5.12,3.4,0.79,10.87,5.817
2026-04-08T09:17:30+00:00,4.67,4.7509,4.85,5.99,3.85,0.85,10.61,5.8849
2026-04-08T09:22:30+00:00,4.82,4.962,4.72,5.83,3.35,0.81,8.18,5.9497
2026-04-08T09:25:00+00:00,4.53,5.0625,4.31,5.51,3.06,0.74,4.85,6.0116
2026-04-08T09:27:30+00:00,4.61,5.1596,2.8,3.48,2.2,0.81,4.72,6.0707
2026-04-08T09:30:00+00:00,4.46,5.2533,2.9,3.8,2.2,0.83,3.21,6.1269
2026-04-08T09:32:30+00:00,4.32,5.3437,2.38,2.77,2.2,0.92,2.22,6.1804
2026-04-08T09:35:00+00:00,4.25,5.4307,2.29,2.72,2.2,0.93,2.2,6.2313
2026-04-08T09:37:30+00:00,4.27,5.5144,2.25,2.41,2.2,0.95,2.47,6.2795
2026-04-08T09:40:00+00:00,4.59,5.5949,2.29,2.62,2.2,0.96,4.98,6.3253
2026-04-08T09:42:30+00:00,4.88,5.6721,2.8,3.68,2.2,0.86,6.71,6.3686
2026-04-08T09:45:00+00:00,5.32,5.7461,3.77,4.8,2.91,0.7,9.16,6.4096
2026-04-08T09:47:30+00:00,5.58,5.817,5.6,6.25,4.55,0.67,9.61,6.4483
2026-04-08T09:50:00+00:00,5.61,5.8849,6.09,7.27,4.66,0.7,8.72,6.4847
2026-04-08T09:52:30+00:00,5.82,5.9497,5.69,6.62,4.76,0.66,9.03,6.5191
2026-04-08T09:55:00+00:00,6.18,6.0116,6.05,7.02,5.2,0.66,10.12,6.5513
2026-04-08T09:57:30+00:00,6.11,6.0707,7.06,8.02,5.72,0.73,8.43,6.5816
2026-04-08T10:00:00+00:00,5.72,6.1269,5.76,6.73,4.92,0.67,4.8,6.61
2026-04-08T10:02:30+00:00,5.52,6.1804,4.51,5.58,3.31,0.67,3.28,6.6365
2026-04-08T10:05:00+00:00,5.05,6.2313,3.9,4.82,2.9,0.82,2.2,6.6612
2026-04-08T10:07:30+00:00,4.98,6.2795,2.31,2.77,2.2,1.22,2.2,6.6842
2026-04-08T10:10:00+00:00,5.11,6.3253,2.33,2.79,2.2,1.19,2.71,6.7055
2026-04-08T10:12:30+00:00,5.11,6.3686,3.0,3.68,2.42,0.95,3.39,6.7253
2026-04-08T10:15:00+00:00,5.28,6.4096,3.06,3.83,2.23,0.91,5.05,6.7435
2026-04-08T10:17:30+00:00,5.48,6.4483,3.8,5.21,2.88,0.73,6.61,6.7603
2026-04-08T10:20:00+00:00,5.8,6.4847,4.7,5.68,3.7,0.53,8.56,6.7757
2026-04-08T10:22:30+00:00,6.12,6.5191,5.87,6.81,4.83,0.48,10.04,6.7898
2026-04-08T10:25:00+00:00,6.35,6.5513,6.8,7.96,5.87,0.59,10.59,6.8026
2026-04-08T10:27:30+00:00,6.41,6.5816,7.69,8.46,6.79,0.72,9.78,6.8141
2026-04-08T10:30:00+00:00,6.43,6.61,7.11,7.86,6.16,0.56,8.82,6.8245
2026-04-08T10:32:30+00:00,6.21,6.6365,6.98,7.52,6.16,0.49,6.45,6.8337
2026-04-08T10:35:00+00:00,5.93,6.6612,5.88,6.93,4.8,0.43,4.22,6.8419
2026-04-08T10:37:30+00:00,5.72,6.6842,4.68,5.69,3.82,0.61,2.99,6.8491
2026-04-08T10:40:00+00:00,5.33,6.7055,4.04,4.81,2.99,0.77,2.2,6.8553
2026-04-08T10:42:30+00:00,5.18,6.7253,2.69,3.72,2.2,1.14,2.2,6.8606
2026-04-08T10:45:00+00:00,5.02,6.7435,2.67,3.26,2.2,1.1,2.2,6.865
2026-04-08T10:47:30+00:00,5.0,6.7603,2.57,3.29,2.2,1.08,2.2,6.8686
2026-04-08T10:50:00+00:00,5.44,6.7757,3.02,3.76,2.23,0.89,6.03,6.8713
2026-04-08T10:52:30+00:00,5.93,6.7898,5.11,6.02,4.18,0.36,9.44,6.8734
2026-04-08T10:55:00+00:00,6.36,6.8026,6.69,7.68,6.08,0.47,11.47,6.8747
2026-04-08T10:57:30+00:00,6.7,6.8141,7.88,8.79,7.41,0.75,12.46,6.8753
2026-04-08T11:00:00+00:00,7.04,6.8245,9.01,9.77,8.07,1.03,13.13,6.8753
2026-04-08T11:02:30+00:00,7.47,6.8337,9.62,10.24,8.62,1.13,14.12,6.8747
2026-04-08T11:05:00+00:00,7.39,6.8419,10.26,11.01,9.47,1.21,11.55,6.8735
2026-04-08T11:07:30+00:00,7.53,6.8491,9.35,9.95,8.74,0.88,10.92,6.8718
2026-04-08T11:10:00+00:00,7.42,6.8553,9.24,10.26,8.4,0.8,8.89,6.8695
2026-04-08T11:12:30+00:00,7.16,6.8606,8.38,8.99,7.58,0.53,6.15,6.8668
2026-04-08T11:15:00+00:00,6.7,6.865,6.98,7.84,6.07,0.31,2.83,6.8637
2026-04-08T11:17:30+00:00,6.49,6.8686,5.01,5.7,4.56,0.72,2.2,6.8601
2026-04-08T11:20:00+00:00,6.2,6.8713,4.54,5.31,3.9,0.81,2.2,6.8396
2026-04-08T11:22:30+00:00,6.15,6.8734,4.0,4.75,3.15,0.89,2.2,6.7803
2026-04-08T11:25:00+00:00,6.21,6.8747,4.1,4.59,3.41,0.82,3.45,6.6216
2026-04-08T11:27:30+00:00,6.18,6.8753,4.66,5.55,3.65,0.62,4.12,6.2405
2026-04-08T11:30:00+00:00,6.1,6.8753,5.25,5.82,4.3,0.4,4.29,5.4666
2026-04-08T11:32:30+00:00,6.07,6.8747,4.97,5.62,4.4,0.45,4.83,4.238
2026-04-08T11:35:00+00:00,6.06,6.8735,4.96,5.63,4.48,0.44,5.31,3.9395
2026-04-08T11:37:30+00:00,6.19,6.8718,5.44,6.26,4.65,0.3,6.66,3.6845
2026-04-08T11:40:00+00:00,6.4,6.8695,6.09,6.88,5.41,0.29,8.15,3.5561
2026-04-08T11:42:30+00:00,6.69,6.8668,7.25,7.62,6.49,0.55,9.86,3.5352
